open_time,close,volume,trades
2026-08-08 01:00:00,65013.58,199.83614,31511
2026-08-08 02:00:00,64995.39,118.91329,13525
2026-08-08 03:00:00,65006.61,298.35674,16625
2026-08-08 04:00:00,64960.0,169.03379,13450
2026-08-08 05:00:00,64993.87,150.80437,13868
2026-08-08 06:00:00,64994.31,303.53576,26189
2026-08-08 07:00:00,65005.87,144.30853,15959
2026-08-08 08:00:00,64967.35,178.16146,19311
2026-08-08 09:00:00,65008.34,234.45077,31056
2026-08-08 10:00:00,65015.27,187.85749,16805
2026-08-08 11:00:00,65129.02,356.35929,44901
2026-08-08 12:00:00,65080.82,186.5848,19760
2026-08-08 13:00:00,65086.45,128.83529,22770
2026-08-08 14:00:00,65119.75,187.72596,23990
2026-08-08 15:00:00,65044.07,168.52013,20825
2026-08-08 16:00:00,65075.41,205.39734,16325
2026-08-08 17:00:00,65082.41,382.31735,18406
2026-08-08 18:00:00,65012.96,216.53129,25428
2026-08-08 19:00:00,64950.61,427.30382,30793
2026-08-08 20:00:00,64962.6,204.73811,22596
2026-08-08 21:00:00,64973.65,214.05253,18975
2026-08-08 22:00:00,64861.46,330.74593,31321
2026-08-08 23:00:00,64820.01,255.40052,32270
2026-08-09 00:00:00,64788.8,153.75776,20800
2026-08-09 01:00:00,64785.0,156.31772,13624
2026-08-09 02:00:00,64801.58,194.39306,15456
2026-08-09 03:00:00,64849.99,216.36529,20930
2026-08-09 04:00:00,64826.14,338.38864,18781
2026-08-09 05:00:00,64824.16,328.93534,43973
2026-08-09 06:00:00,64877.85,149.22124,19330
2026-08-09 07:00:00,64959.86,249.48898,26742
2026-08-09 08:00:00,64950.0,150.77221,16353
2026-08-09 09:00:00,64960.11,166.88575,13782
2026-08-09 10:00:00,65219.78,406.90586,44799
2026-08-09 11:00:00,65260.01,280.8075,46146
2026-08-09 12:00:00,65228.68,364.1864,32621
2026-08-09 13:00:00,65232.14,289.41282,32276
2026-08-09 14:00:00,65198.68,130.05099,14397
2026-08-09 15:00:00,65199.68,83.21999,12819
2026-08-09 16:00:00,65180.66,257.6312,19927
2026-08-09 17:00:00,65137.96,465.99754,47904
2026-08-09 18:00:00,65192.99,485.32235,50161
2026-08-09 19:00:00,65077.13,941.55321,114413
2026-08-09 20:00:00,64901.59,421.42323,96181
2026-08-09 21:00:00,64968.01,556.44925,129770
2026-08-09 22:00:00,65189.99,410.26148,81073
2026-08-09 23:00:00,65099.99,432.7132,68539
2026-08-10 00:00:00,64982.01,335.63049,60159
2026-08-10 01:00:00,65006.73,333.49313,48732
2026-08-10 02:00:00,65134.0,299.63603,48950
2026-08-10 03:00:00,65299.4,433.93661,65239
2026-08-10 04:00:00,65202.73,554.01187,48555
2026-08-10 05:00:00,65245.58,316.81156,34815
2026-08-10 06:00:00,64967.24,389.34609,70485
2026-08-10 07:00:00,65013.06,428.4961,63916
2026-08-10 08:00:00,65125.98,160.3373,50748
2026-08-10 09:00:00,64870.75,596.12387,112248
2026-08-10 10:00:00,64561.98,1297.24239,183557
2026-08-10 11:00:00,64625.77,650.29814,135771
2026-08-10 12:00:00,64299.99,1096.33991,165488
2026-08-10 13:00:00,63904.65,1498.06925,198980
2026-08-10 14:00:00,63953.04,1290.55418,126308
2026-08-10 15:00:00,63889.39,944.06538,104506
2026-08-10 16:00:00,64045.7,543.26284,73324
2026-08-10 17:00:00,64158.5,286.34235,59715
2026-08-10 18:00:00,63987.0,239.68387,46322
2026-08-10 19:00:00,64016.0,216.96727,39224
2026-08-10 20:00:00,63970.01,328.33621,37923
2026-08-10 21:00:00,64040.0,690.26826,66218
2026-08-10 22:00:00,64060.8,355.07512,49705
2026-08-10 23:00:00,64044.59,263.24469,26971
2026-08-11 00:00:00,64155.01,524.13513,34345
2026-08-11 01:00:00,64023.51,360.17249,21216
2026-08-11 02:00:00,64000.0,217.31247,31560
2026-08-11 03:00:00,63969.28,681.87714,51622
2026-08-11 04:00:00,64065.99,380.83043,55232
2026-08-11 05:00:00,64136.41,168.66039,27701
2026-08-11 06:00:00,64300.0,453.24003,45575
2026-08-11 07:00:00,64233.23,408.12036,50713
2026-08-11 08:00:00,64389.57,538.09782,44297
2026-08-11 09:00:00,64330.01,714.43565,69245
2026-08-11 10:00:00,64200.28,1390.7479,163982
2026-08-11 11:00:00,63770.03,985.02313,176212
2026-08-11 12:00:00,63609.87,1286.57237,194682
2026-08-11 13:00:00,63512.59,740.82749,112264
2026-08-11 14:00:00,63607.88,482.84238,74539
2026-08-11 15:00:00,63373.07,749.01907,94536
2026-08-11 16:00:00,63536.0,452.04779,76848
2026-08-11 17:00:00,63740.0,321.5572,66539
2026-08-11 18:00:00,63672.73,269.417,48133
2026-08-11 19:00:00,63668.49,253.27935,42286
2026-08-11 20:00:00,63600.0,204.82882,36096
2026-08-11 21:00:00,63742.07,247.42097,55471
2026-08-11 22:00:00,63813.8,499.92358,58485
2026-08-11 23:00:00,63749.76,612.29132,54365
2026-08-12 00:00:00,63835.59,538.85374,50947
2026-08-12 01:00:00,63769.58,568.35931,47129
2026-08-12 02:00:00,63849.94,540.4656,45253
2026-08-12 03:00:00,63711.97,563.28705,72358
2026-08-12 04:00:00,63837.99,458.43036,42636
2026-08-12 05:00:00,63794.94,303.11959,50616
2026-08-12 06:00:00,64108.81,553.52986,101679
2026-08-12 07:00:00,64143.36,996.13758,96007
2026-08-12 08:00:00,64240.04,414.30431,53021
2026-08-12 09:00:00,64119.71,1297.05947,185766
2026-08-12 10:00:00,63840.0,727.44098,189248
2026-08-12 11:00:00,63363.39,1163.88428,242011
2026-08-12 12:00:00,63441.47,771.05562,132695
2026-08-12 13:00:00,63492.12,487.79219,86946
2026-08-12 14:00:00,63471.0,292.36777,55289
2026-08-12 15:00:00,63386.59,396.92257,56178
2026-08-12 16:00:00,63421.11,381.53313,68460
2026-08-12 17:00:00,63599.99,307.26199,69016
2026-08-12 18:00:00,63469.83,267.57645,65547
2026-08-12 19:00:00,63432.28,240.00896,57291
2026-08-12 20:00:00,63479.99,998.04154,54085
2026-08-12 21:00:00,63556.92,406.77009,70756
2026-08-12 22:00:00,63456.11,317.88444,68777
2026-08-12 23:00:00,63550.01,458.1649,59721
2026-08-13 00:00:00,63646.99,401.71819,59441
2026-08-13 01:00:00,63693.74,223.42484,47062
2026-08-13 02:00:00,63878.0,500.10882,88932
2026-08-13 03:00:00,63942.35,256.03719,57503
2026-08-13 04:00:00,63865.84,533.09585,54224
2026-08-13 05:00:00,63766.8,439.81868,34954
2026-08-13 06:00:00,63782.64,337.82326,48123
2026-08-13 07:00:00,63651.19,317.79982,53154
