open_time,actual_range,predicted_range,baseline_range,model_error,baseline_error,hour_of_day,date,model_wins
2026-07-18 01:00:00-03:00,0.0011194668580124982,0.0017032016859959444,0.001106178261971371,0.0005837348279834462,1.3288596041127233e-05,1,2026-07-18,0
2026-07-18 02:00:00-03:00,0.0008751217378895196,0.002029025168043752,0.0011194668580124982,0.0011539034301542323,0.0002443451201229786,2,2026-07-18,0
2026-07-18 03:00:00-03:00,0.0007982469503262986,0.0013743116845272953,0.0008751217378895196,0.0005760647342009967,7.687478756322101e-05,3,2026-07-18,0
2026-07-18 04:00:00-03:00,0.0009317874993301319,0.0014785356936237368,0.0007982469503262986,0.0005467481942936049,0.0001335405490038333,4,2026-07-18,0
2026-07-18 05:00:00-03:00,0.001848478521517222,0.00155100852674137,0.0009317874993301319,0.00029746999477585205,0.00091669102218709,5,2026-07-18,1
2026-07-18 06:00:00-03:00,0.0006881046006470981,0.0013061840490776854,0.001848478521517222,0.0006180794484305874,0.0011603739208701238,6,2026-07-18,1
2026-07-18 07:00:00-03:00,0.0013458740135187247,0.0011931166082319881,0.0006881046006470981,0.00015275740528673657,0.0006577694128716266,7,2026-07-18,1
2026-07-18 08:00:00-03:00,0.0033822292815099252,0.001246159541186665,0.0013458740135187247,0.00213606974032326,0.0020363552679912005,8,2026-07-18,0
2026-07-18 09:00:00-03:00,0.003977942782266902,0.002494223092046317,0.0033822292815099252,0.0014837196902205852,0.000595713500756977,9,2026-07-18,0
2026-07-18 10:00:00-03:00,0.001459470417615379,0.0030561108978306266,0.003977942782266902,0.0015966404802152476,0.0025184723646515233,10,2026-07-18,1
2026-07-18 11:00:00-03:00,0.0019733911887007505,0.0019165371575473205,0.001459470417615379,5.685403115342994e-05,0.0005139207710853715,11,2026-07-18,1
2026-07-18 12:00:00-03:00,0.00346046644139106,0.002324154296109565,0.0019733911887007505,0.0011363121452814952,0.0014870752526903097,12,2026-07-18,1
2026-07-18 13:00:00-03:00,0.003284414508681627,0.0026024776638958703,0.00346046644139106,0.0006819368447857567,0.0001760519327094331,13,2026-07-18,0
2026-07-18 14:00:00-03:00,0.003216435411419291,0.0030530225708030557,0.003284414508681627,0.0001634128406162354,6.79790972623359e-05,14,2026-07-18,0
2026-07-18 15:00:00-03:00,0.001795429756018314,0.002335869124691285,0.003216435411419291,0.000540439368672971,0.0014210056554009771,15,2026-07-18,1
2026-07-18 16:00:00-03:00,0.0032607850523572344,0.002654352332994294,0.001795429756018314,0.0006064327193629404,0.0014653552963389204,16,2026-07-18,1
2026-07-18 17:00:00-03:00,0.0035912841494093028,0.003021293444772457,0.0032607850523572344,0.0005699907046368457,0.00033049909705206836,17,2026-07-18,0
2026-07-18 18:00:00-03:00,0.002356452159206715,0.0037530864433165285,0.0035912841494093028,0.0013966342841098137,0.001234831990202588,18,2026-07-18,0
2026-07-18 19:00:00-03:00,0.002067118259462427,0.0031659757957224915,0.002356452159206715,0.0010988575362600645,0.0002893338997442879,19,2026-07-18,0
2026-07-18 20:00:00-03:00,0.002113375585411061,0.002928163343579343,0.002067118259462427,0.000814787758168282,4.625732594863404e-05,20,2026-07-18,0
2026-07-18 21:00:00-03:00,0.00040298928496265626,0.0023881583990542363,0.002113375585411061,0.00198516911409158,0.0017103863004484048,21,2026-07-18,0
2026-07-18 22:00:00-03:00,0.0041096158779478096,0.001726463496698395,0.00040298928496265626,0.0023831523812494143,0.0037066265929851534,22,2026-07-18,1
2026-07-18 23:00:00-03:00,0.00343831145649451,0.0026899893790854456,0.0041096158779478096,0.0007483220774090645,0.0006713044214532995,23,2026-07-18,0
2026-07-19 00:00:00-03:00,0.0028513522136916648,0.002460492981702765,0.00343831145649451,0.0003908592319888998,0.0005869592428028453,0,2026-07-19,1
2026-07-19 01:00:00-03:00,0.0021576228048911287,0.002117398860909762,0.0028513522136916648,4.0223943981366854e-05,0.0006937294088005361,1,2026-07-19,1
2026-07-19 02:00:00-03:00,0.0009993557578236367,0.0024150786346381283,0.0021576228048911287,0.0014157228768144916,0.001158267047067492,2,2026-07-19,0
2026-07-19 03:00:00-03:00,0.001684410931363345,0.001953912273440578,0.0009993557578236367,0.00026950134207723276,0.0006850551735397084,3,2026-07-19,1
2026-07-19 04:00:00-03:00,0.0017225208395504003,0.002166919018868118,0.001684410931363345,0.0004443981793177175,3.810990818705522e-05,4,2026-07-19,0
2026-07-19 05:00:00-03:00,0.0034993029761746664,0.0019848066990251468,0.0017225208395504003,0.0015144962771495196,0.0017767821366242661,5,2026-07-19,1
2026-07-19 06:00:00-03:00,0.003374874216270609,0.002108815871771727,0.0034993029761746664,0.0012660583444988821,0.00012442875990405743,6,2026-07-19,0
2026-07-19 07:00:00-03:00,0.0029670699904634145,0.0022525558646446894,0.003374874216270609,0.0007145141258187251,0.00040780422580719445,7,2026-07-19,0
2026-07-19 08:00:00-03:00,0.0028306447045095173,0.002235537483728447,0.0029670699904634145,0.0005951072207810702,0.0001364252859538972,8,2026-07-19,0
2026-07-19 09:00:00-03:00,0.003235100679540188,0.002974101396313439,0.0028306447045095173,0.00026099928322674895,0.00040445597503067053,9,2026-07-19,1
2026-07-19 10:00:00-03:00,0.003681509487008481,0.0031980644124167635,0.003235100679540188,0.00048344507459171767,0.0004464088074682933,10,2026-07-19,0
2026-07-19 11:00:00-03:00,0.001858007361425166,0.002572682200030509,0.003681509487008481,0.0007146748386053429,0.0018235021255833153,11,2026-07-19,1
2026-07-19 12:00:00-03:00,0.002150491983726992,0.002616417404060411,0.001858007361425166,0.00046592542033341896,0.00029248462230182593,12,2026-07-19,0
2026-07-19 13:00:00-03:00,0.005355715898249719,0.0023210116070027553,0.002150491983726992,0.0030347042912469637,0.003205223914522727,13,2026-07-19,1
